2.02306E+19,大众,ID.4 X,2023款 极智长续航版,汽车6月9号发现汽车不制冷，打电话到江海区的经销商询问，并于6月10日送去江海区售后检查。被售后告知厂家周末休息无法答复具体故障原因，直至6月12日答复是空调压缩机损坏需要更换，售后这边没有零件需要订货，最快要在6月16日前到货并更换好，我要求售后向厂家申请在维修期间的代步车或者交通补贴，售后无视我的请求说车辆不是动力故障是可以继续开的，让我自己打电话到厂家400申请，我自己打电话到厂家400后，厂家说反馈到经销商售后，但是我从6月12一直等到6月16日，经销商一直不回复我目前车子的状态，严重影响我的出行，我也三次催促厂家，要求给我答复，厂家每次都是上报正在处理。态度极度恶劣。目前车子还没人告知我状态，严重影响出行。,"电气设备
空调不制冷",2023/6/16
2.02306E+19,埃安,AION Y,2022款 70 乐享版 磷酸铁锂,广汽埃安Y正副驾驶座底下有伤人的金属条，我无意识的摸到就被割伤了二个手指头，后来跟厂家售后沟通，答复去4S维修查看，今检查是底下下面的金属条没打磨导致，很锋利的金属条工作人员反馈这车座有这问题，打磨一下就解决，那我手受的伤用人文关怀来处理：给点积分.这样的商家处理方式可行吗？知道这车座有问题不积极处理，后来电话和我沟通：意思拿工程车和埃安家用车相比，那个车金属条多有这毛病，目前我有我们处理过程中沟通电话录音为证，请贵平台重视一下这款车不改正这座椅肯定还会伤到人，目前厂家答复这问题不是问题？,"配件争议
配件质量差",2023/6/16
2.02306E+19,奥迪,奥迪Q5L,2022款 45T 豪华致雅型,"1.车辆是2022年6月1日提车，新车车辆在怠速打方向离合器会发出咔咔的响声，并且有闯车抖动，到现在一年了问题买有解决！4S店承认车辆问题，就是没有解决方案。
半年的时候升级过一次软件，期间症状减轻（也有可能是冬天温度低导致症状减轻）现在天气回暖症状又开始明显，去过好几次4S店试车说是离合器问题，但是没有解决方案，最后一次说厂家老师说我这个车可能就是这样的，那为什么他们的试驾车不会有这个问题呢？
2.车辆正常行驶踩刹车后再踩油门底盘明显有咔咔声并闯车，4S店以偶发性难以试车为由不做处理。
3.车辆踩刹车后后桥会有很清脆的咔的响声
中途摩过刹车片一次，好了2天又开始响了","传动系
异响",2023/6/16
2.02306E+19,别克,别克GL8,2023款 ES陆尊 尊享型和悦版,轮胎吃胎，4s店一直不给解决，老是用各种各样的理由拒绝，,"轮胎和车轮
吃胎",2023/6/16
2.02306E+19,福特,蒙迪欧-致胜,2011款 2.0L GTDi200时尚型,没有任何进展，维权到底,"传动系
漏油",2023/6/16
2.02306E+19,凯迪拉克,凯迪拉克CT5,2022款 28T 尊贵型,方向盘出现卡滞 回位不正常,"转向系
其他",2023/6/16
2.02306E+19,宝马,宝马5系,2021款 530Li xDrive M运动套装,车辆正常行驶过程中前挡风玻璃突发自然爆裂，购车时间未够两年。售后人员称不属质保范围不予质保。,"车身
部件开裂",2023/6/16
2.02306E+19,凯迪拉克,凯迪拉克CT5,2020款 28T 领先运动型,经武汉星凯4s店路试，明确有此现象，现象为50码时速左右或者以上，左转大弯，需要保持方向盘的时候，慢慢回正会有卡顿现象，最终报告给上汽通用厂家，上汽通用厂家报告回复为正常逻辑现象，不许索赔或者拆检，此现象明显为不正常,"转向系
卡滞",2023/6/16
2.02306E+19,哈弗,哈弗赤兔,2021款 激擎版 1.5T 黄金兔,没有任何人与我联系，我就不理解你们是怎么处理完成的,"车身
车漆鼓包",2023/6/16
2.02306E+19,哈弗,哈弗赤兔,2021款 激擎版 1.5T 黄金兔,怎么就处理完成了，有任何人与我联系吗？你们就是这么完成的吗,"服务态度
不解决问题",2023/6/16
2.02306E+19,比亚迪,宋PLUS新能源,2021款 DM-i 110KM 旗舰PLUS,车辆后台自动ota升级，未经过车主同意，升级后车辆频繁自启动发动机，耗油量增多。,"发动机
其他",2023/6/16
2.02306E+19,大众,途昂,2022款 530 V6 四驱尊崇旗舰版,本人于2022年4月6日在东莞市瑞德上汽大众4S店购买了1台上汽大众suv（2022款途昂530旗舰版），于今年5月22日发现车行驶途中水温高故障后，把车送瑞德4S店检查，4s店于5月23日反馈（电子节温器）损坏须更换，由于本人车辆在3包范围内，于是4s店承诺免费修理更换，并于5月23日向上汽大众厂家提交了相关配件（电子节温器）订单，但一个月将近过去了，厂家仍然未发配件，造成车辆至今未修理好。期间本人多次联系上汽大众售后，上汽大众一直敷衍塞责，迟迟不发货，也不给出明确配件发货时间，现要求上汽大众厂家立即答复配件发送时间，尽快发送配件维修车辆，如短期无配件，我要求上汽厂家拆新车配件对我车进行更换维修，并赔偿我本短时间的交通费用。,"发动机
其他",2023/6/16
2.02306E+19,丰田,凌放HARRIER,2022款 2.0L CVT两驱豪华版,问题没解决,"电气设备
其他",2023/6/16
2.02306E+19,丰田,皇冠,2005款 3.0L Royal,4S有联系我了，但比较远，想去最近的4S处理比较方便可否，最近的是泉州宾联丰田汽车销售有限公司。谢谢,"附加设备
其他",2023/6/16
2.02306E+19,福特,翼虎,2013款 2.0L GTDi 四驱尊贵型,4月15日车辆行使过程中车道保持系统故障报警，方向盘突然失去助力无法转动！ 4月16日投诉人自费检查故障！是电瓶给转向系统供电元器件损坏导致无法供电，丧失助力。4月19日厂家2次委托4S店沟通，承认存在此类故障，提出更换保险元器件即可恢复正常，但不保证此类故障不再发生。4月26日厂家电话回复，表示可以承担投诉人已支付的600元检查费用，但厂家不保证此类故障不再发生，协商未果。5月16日，厂家回复投诉已处理完，但对安车辆全隐患问题仍不给解决方案，不保证此类安全故障不再发生，并表示之前厂家提出承担600元检查费通过车辆保养维护消费打折兑现！协商未果。5月17日，厂家委托经销商联系，仍没有实质进展，没有提出具体解决方案，没有安全保证。6月14\15日厂家在平台回复厂家处理完成，实际上无人与投诉人联系。投诉人再次申明：供电系统故障导致车辆行使中丧失助力是安全隐患问题，并非配件损耗问题，要求厂家根除车辆安全隐患，保证车辆不再发生同类故障，保证投诉人生命财产安全。要求厂家拿出具体解决方案、书面安全保证，否则投诉人坚持投诉维权！！,"转向系
助力消失",2023/6/16
2.02306E+19,比亚迪,汉,2022款 DM-i 121KM 尊享型,,"车身
其他",2023/6/16
2.02306E+19,丰田,凯美瑞,2023款 2.0GVP 领先版,2022年6月份提的新车，在7月6号的时候出现了倒车影像闪屏，驾驶员这边的安全带调节器异响，后期去了4S店，店里的人员把中控显示屏重新拆装了一下。安全带调节器给我安装了一个垫片。就让我走了，刚刚开出门，安全带调节器的异响还在。后我联系店里，又回去路试，结果没有试出来。后期我和店里的工作人员沟通了好几次，明确和他们说就是安全带调节器异响，也把相应的异响视频发给店里，才同意给我更换。该故障解决以后，车辆的左前门也出现了异响，我也把相应的故障视频发给店里的工作人员，也去了其他店处理，都没有给我维修好，到目前为此已经去了店了好几次了，一直没有解决。本,"车身
异响",2023/6/16
2.02306E+19,路虎,发现运动版,2023款 249PS R-Dynamic S 性能版,无人联系我，没人反馈,"发动机
动力不足",2023/6/16
2.02306E+19,别克,昂科威,2022款 昂科威Plus 652T 五座豪华型,车子于 2022 年 9 月购买，行驶里程为 3900 公里，2023 年 6 月 9 号 车辆在行驶过程中刹车失灵，随后前往别克 4s 店做检测，监测结果为刹车泵坏了，6 月 12 日拨打 400 电话，至今为止，没有人主动来联系我给我解决问题,"制动系
刹车失灵",2023/6/16
2.02306E+19,比亚迪,宋PLUS新能源,2021款 DM-i 51KM 尊荣型,电池接近满电，动力模式为EV的情况下，发动机忽然启动而且没有切换至HEV模式手动切换至强制EV模式，发动机仍然继续启动，这难道就是比亚迪厂家为了应对友商举报的“常压油箱”的做法吗？这样做是不是拿我们广大人民群众当傻子吗？,"动力电池及电源管理系统
EV功能受限",2023/6/16
2.02306E+19,日产,天籁,2021款 2.0L XL 舒适版,"本人2020年买了日产天籁，1万公里内，减震器漏油、前轮传动轴异响，空调囗断裂，4s店换了新的，心里一直恶心！于是2022年6月又添2万5千元置换同款同配置的日产天籁，2023年5月2日1万公里左右时，又发现汽车内板掉漆，而且继续向下鼓开，难道万分之一的机率都让我赶上了？我十几万元买的车就让我一次次恶心？这种掉漆明显是生产工艺问题怎么合格出厂的？
5月2日，开始反映给邯郸恒信东顺，至今无合理解决方案！！！截止6月15日致电95027共7次，去4S店8次，至今无果！！！","车身
车漆脱落",2023/6/16
2.02306E+19,坦克,坦克300,2021款 越野版 2.0T 征服者,发动机两处漏油打客服电话说三个工作日回复知道现在也没有回复和给出任何解决方案,"发动机
漏机油",2023/6/16
2.02306E+19,别克,英朗,2019款 18T 自动互联精英型 国VI,去店里检测就是说正常，连续两次去都是同样的结果，可发动机抖动特别明显，车上有明显感觉，方向盘都震手，结果两次都是正常。,"发动机
异响",2023/6/16
2.02306E+19,别克,英朗,2019款 18T 自动互联精英型 国VI,各种理由搪塞，就是不解决问题,"服务态度
不解决问题",2023/6/16
2.02306E+19,哈弗,哈弗M6,2019款 1.5T DCT两驱精英型 国V,"十分不满意。
5月27日，驱车来回近300公里，进店检查，确认行李架断裂后，确定质量问题，同意免费更换，安排等待发件；5月28日，反馈件到了。
6月3日，距离首次进站检测一周后，再次驱车近300公里，进站进行更换。更换中发现件方向发错了，本应更换左侧，实际发的右侧，把右侧进行了更换。告知我重新等待补发左侧，我提出本次发货错误造成我需要第三次进站，我提出第三次进站误工补贴我个人承担，近300公里的油费损失应给我补偿，4S站回复等下次来更换时再解决。
接下来两周4S店始终未与我取得联系。
6月16日，我主动去电询问左侧行李架是否可以进站更换。4S店又回复不同意更换。说如果不要由于他们工作失误造成我第三次进站的近300公里油费的情况下，可以给我更换，否则不能更换。
这根本不是解决问题的态度。
第一，断裂在图片上已经可以明显看出，非要为难我进站检测。
第二，因厂家工作失误造成发货错误，造成我多误工1天，多跑近300公里的损失，不愿给出补偿，让我个人承担明显不合理。
我的诉求：免费更换左侧行李架。补偿由其工作失误造成我第三次进站的误工补贴及近300公里油费损失。","附加设备
其他",2023/6/16
2.02306E+19,雪佛兰,迈锐宝XL,2019款 Redline 550T 自动锐动版,车放了4天没开，今天开车的时候发现仪表盘塑料罩突然有两个裂纹，给4S店打电话，他们说过保了，需要自费更换。首先我这个不是人为的，也没有磕碰过，也不是易损件，塑料罩自己裂开了，为什么不给我换。,"附加设备
其他",2023/6/16
2.02306E+19,日产,轩逸,2019款 1.6XE 手动舒适版 国VI,轮胎严重开裂，属于质量问题，希望督促厂家处理,"轮胎和车轮
其他",2023/6/16
2.02306E+19,哈弗,哈弗H6,2022款 第三代 1.5T 自动两驱Supreme+,新车买来一年左右，四个轮毂腐蚀褪色，到四s店检查四s店提交信息给厂家，厂家不认同不给索赔，说是人为的，作为汽车生产厂家连轮毂最基本的防腐蚀都没做好，还反过来说我们是人为的，把我们消费者当小白忽悠。,"轮胎和车轮
轮毂腐蚀",2023/6/16
